,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein
0,0.0,0.000112637981527,0.0396699459313,0.0,0.733333333333,0.000112637981527,0.159877623665,0.0,0.733333333333,0.000112637981527,0.159877623665,0.0,0.733333333333,0.000112637981527,0.159877623665,0.0,0.733333333333,0.000112637981527,0.159877623665,0.0
1,0.0,0.0431778929188,0.0301632390822,0.0454545454545,0.733333333333,-0.296379088112,-0.0996343423663,0.939643379831,0.733333333333,-0.246123705739,-0.16463238285,0.879405441119,0.733333333333,-0.197109859268,-0.230824540378,0.820036192511,0.733333333333,-0.0575707404994,-0.432040711127,0.651066105913
2,0.0,0.131373432455,0.0288995963577,0.114718614719,0.733333333333,-0.366414671183,0.110459371045,0.985904042966,0.733333333333,-0.317577649969,0.0461069640039,0.926567959442,0.733333333333,-0.269607884341,-0.0196163419794,0.867889067478,0.733333333333,-0.130859897969,-0.220417028135,0.699768288754
3,0.0,0.216527746489,0.0252524097371,0.188311688312,0.733333333333,-0.438989990209,0.33651732712,1.01618427403,0.733333333333,-0.392715943068,0.273064031217,0.958080822732,0.733333333333,-0.346920187813,0.208015945395,0.90033122014,,,,
4,0.0,0.305211383945,0.0180647233579,0.255411255411,0.733333333333,-0.504096073603,0.545472375356,1.05223380869,0.733333333333,-0.460659774539,0.483367836415,0.995304536746,0.733333333333,-0.417364188856,0.419485946299,0.938494696294,,,,
5,0.0,0.382518585267,0.0112367088003,0.309523809524,0.733333333333,-0.561609386797,0.743482983656,1.10501661357,0.733333333333,-0.520981145251,0.683038961144,1.04906634632,,,,,,,,
6,0.0,0.438912668018,0.111226103485,0.37012987013,0.733333333333,-0.605619453092,0.900965848481,1.11705699589,0.733333333333,-0.568453037596,0.842193572359,1.06226096297,,,,,,,,
7,0.0,0.501501839754,0.244143036316,0.437229437229,0.733333333333,-0.627945581971,0.981993006879,1.18665232345,,,,,,,,,,,,
8,0.0,0.541863783134,0.327500012256,0.489177489177,0.733333333333,-0.649105711533,1.02026194896,1.35392770018,,,,,,,,,,,,
9,0.0,0.606930990463,0.463798371628,0.54329004329,0.733333333333,-0.683626457895,1.11932404707,1.48156198963,,,,,,,,,,,,
10,0.0,0.644289254337,0.565330576314,0.588744588745,0.733333333333,-0.710942934992,1.12361982528,1.60940699011,,,,,,,,,,,,
11,0.0,0.708455357813,0.644013718605,0.634199134199,0.733333333333,-0.737729699226,1.16751671542,1.69515327789,,,,,,,,,,,,
12,0.0,0.738867612826,0.802476960619,0.666666666667,0.733333333333,-0.766295757114,1.2052391627,1.78954600905,,,,,,,,,,,,
13,0.333333333333,0.0,0.0394469878804,0.0,,,,,,,,,,,,,,,,
14,0.333333333333,0.0520012014718,0.0217125491146,0.0714285714286,,,,,,,,,,,,,,,,
15,0.333333333333,0.149320417511,0.02100151044,0.160173160173,,,,,,,,,,,,,,,,
16,0.333333333333,0.244274235939,0.0104752011782,0.24025974026,,,,,,,,,,,,,,,,
17,0.333333333333,0.343207929714,0.00654819891297,0.307359307359,,,,,,,,,,,,,,,,
18,0.333333333333,0.414545318015,0.0,0.383116883117,,,,,,,,,,,,,,,,
19,0.333333333333,0.48152737103,0.100461503421,0.458874458874,,,,,,,,,,,,,,,,
20,0.333333333333,0.540699857325,0.2289786872,0.545454545455,,,,,,,,,,,,,,,,
21,0.333333333333,0.609596756026,0.317268208452,0.599567099567,,,,,,,,,,,,,,,,
22,0.333333333333,0.679094390629,0.448004112314,0.632034632035,,,,,,,,,,,,,,,,
23,0.333333333333,0.735863933318,0.537533639114,0.683982683983,,,,,,,,,,,,,,,,
24,0.333333333333,0.781557407825,0.610057670323,0.718614718615,,,,,,,,,,,,,,,,
25,0.333333333333,0.82128106931,0.75625878428,0.751082251082,,,,,,,,,,,,,,,,
26,1.0,0.000112637981527,0.163151722036,0.0,,,,,,,,,,,,,,,,
27,1.0,0.0804610648044,0.182308239237,0.132034632035,,,,,,,,,,,,,,,,
28,1.0,0.185965307502,0.157436585212,0.24025974026,,,,,,,,,,,,,,,,
29,1.0,0.290192986408,0.150256561407,0.348484848485,,,,,,,,,,,,,,,,
30,1.0,0.383419689119,0.175415061031,0.439393939394,,,,,,,,,,,,,,,,
31,1.0,0.472328602538,0.154995541328,0.530303030303,,,,,,,,,,,,,,,,
32,1.0,0.544304272734,0.256721968461,0.601731601732,,,,,,,,,,,,,,,,
33,1.0,0.624352331606,0.442541958277,0.67316017316,,,,,,,,,,,,,,,,
34,1.0,0.681572426222,0.554693765465,0.748917748918,,,,,,,,,,,,,,,,
35,1.0,0.744161597957,0.702663880081,0.785714285714,,,,,,,,,,,,,,,,
36,1.0,0.796125253435,0.801687353271,0.850649350649,,,,,,,,,,,,,,,,
37,1.0,0.840504618157,0.892299099905,0.898268398268,,,,,,,,,,,,,,,,
38,1.0,0.889727416085,1.0,0.922077922078,,,,,,,,,,,,,,,,
39,0.733333333333,0.000112637981527,0.159877623665,0.0,,,,,,,,,,,,,,,,
40,0.733333333333,0.114290005256,0.162979872069,0.166666666667,,,,,,,,,,,,,,,,
41,0.733333333333,0.229368476384,0.145115751116,0.292207792208,,,,,,,,,,,,,,,,
42,0.733333333333,0.33994142825,0.139629953929,0.417748917749,,,,,,,,,,,,,,,,
43,0.733333333333,0.453180145678,0.156776016028,0.508658008658,,,,,,,,,,,,,,,,
44,0.733333333333,0.534129308403,0.140749859445,0.612554112554,,,,,,,,,,,,,,,,
