,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.633178527407,2592.61930243,1.18716728167,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.88184271542,2526.20100997,1.60155391495,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.12929512318,2479.04222178,2.00386672572,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.37669215449,2438.65176326,2.38124450075,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.54996642915,3899.98364088,2.62730905521,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.71478410833,5362.49453359,2.85594322435,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.87910851888,6812.16755501,3.08125594612,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.04481648168,8243.17301522,3.31070872186,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.21066448476,9653.07020055,3.54163568781,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.37010566165,11028.5487786,3.76015193775,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.50454902318,12233.5499676,3.9272303765,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.328740267914,818.499517238,0.606941974769,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.481283629555,817.397598246,0.812868878404,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.646492438988,763.118558312,1.0210093567,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.821735288436,670.437127751,1.23388271854,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,0.899069996039,901.097693465,1.54615717637,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.05891206246,1055.37286259,1.72540355839,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.18199279574,1270.20717781,1.91125946738,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.2929393485,1517.72461057,2.06389197647,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.38371733987,1803.68737693,2.18932108954,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.46074166136,2113.95552981,2.27827103761,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.52386215053,2443.95458737,2.3379293689,25.5
