,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein
,,,,,,,,
0,0.0,0.000112637981527,0.0396699459313,0.0,0.0,0.000112637981527,0.0396699459313,0.0
1,0.0,0.0431778929188,0.0301632390822,0.0454545454545,0.0,0.0319479763363,-0.00375813741176,0.0355856753806
2,0.0,0.131373432455,0.0288995963577,0.114718614719,0.0,0.114238383268,-0.0190926751723,0.0714484337817
3,0.0,0.216527746489,0.0252524097371,0.188311688312,0.0,0.186424617829,-0.00973716554923,0.0983752645888
4,0.0,0.305211383945,0.0180647233579,0.255411255411,0.0,0.214916473791,0.00248516701987,0.110584214228
5,0.0,0.382518585267,0.0112367088003,0.309523809524,0.0,0.218847741244,0.00907337194349,0.115258406764
6,0.0,0.438912668018,0.111226103485,0.37012987013,0.0,0.220489013629,0.011925862361,0.119130999742
7,0.0,0.501501839754,0.244143036316,0.437229437229,0.0,0.223821826235,0.0129623442238,0.12291362445
8,0.0,0.541863783134,0.327500012256,0.489177489177,0.0,0.227593174041,0.0131882917479,0.126018416732
9,0.0,0.606930990463,0.463798371628,0.54329004329,0.0,0.230710431463,0.0130886854268,0.12819407545
10,0.0,0.644289254337,0.565330576314,0.588744588745,0.0,0.232869627861,0.0128921893493,0.129540823319
11,0.0,0.708455357813,0.644013718605,0.634199134199,0.0,0.23419694744,0.0127023934671,0.130287820646
12,0.0,0.738867612826,0.802476960619,0.666666666667,0.0,0.234932806178,0.0125572073228,0.130654316896
13,0.333333333333,0.0,0.0394469878804,0.0,0.333333333333,0.0,0.0394469878804,0.0
14,0.333333333333,0.0520012014718,0.0217125491146,0.0714285714286,0.333333333333,-0.1906264802,0.37513480119,0.257791443277
15,0.333333333333,0.149320417511,0.02100151044,0.160173160173,0.333333333333,0.00422581793829,0.476612872906,0.579064953582
16,0.333333333333,0.244274235939,0.0104752011782,0.24025974026,0.333333333333,0.454640971479,0.634436861492,0.784178404851
17,0.333333333333,0.343207929714,0.00654819891297,0.307359307359,0.333333333333,0.331530700759,0.722693037458,0.698807812339
18,0.333333333333,0.414545318015,0.0,0.383116883117,0.333333333333,0.286961122986,0.799207388822,0.693645401482
19,0.333333333333,0.48152737103,0.100461503421,0.458874458874,0.333333333333,0.275692000265,0.844987276732,0.69285236301
20,0.333333333333,0.540699857325,0.2289786872,0.545454545455,0.333333333333,0.258928074931,0.871390895677,0.687214685518
21,0.333333333333,0.609596756026,0.317268208452,0.599567099567,0.333333333333,0.250591667569,0.886454060031,0.685728706471
22,0.333333333333,0.679094390629,0.448004112314,0.632034632035,0.333333333333,0.246989955452,0.894859567797,0.685029376046
23,0.333333333333,0.735863933318,0.537533639114,0.683982683983,0.333333333333,0.244338078764,0.89957641613,0.684317462777
24,0.333333333333,0.781557407825,0.610057670323,0.718614718615,0.333333333333,0.242906956096,0.902185730018,0.684022212184
25,0.333333333333,0.82128106931,0.75625878428,0.751082251082,0.333333333333,0.242210631064,0.903623083043,0.683878786163
26,1.0,0.000112637981527,0.163151722036,0.0,1.0,0.000112637981527,0.163151722036,0.0
27,1.0,0.0804610648044,0.182308239237,0.132034632035,1.0,-0.229204734134,0.893299172104,0.627707546895
28,1.0,0.185965307502,0.157436585212,0.24025974026,1.0,0.337829052672,1.32417176467,1.23784487015
29,1.0,0.290192986408,0.150256561407,0.348484848485,1.0,0.426648557521,1.73662949601,1.08843061782
30,1.0,0.383419689119,0.175415061031,0.439393939394,1.0,0.134528598645,1.9772858427,1.00211449732
31,1.0,0.472328602538,0.154995541328,0.530303030303,1.0,0.142378796948,2.06955352864,1.0589761212
32,1.0,0.544304272734,0.256721968461,0.601731601732,1.0,0.160157281735,2.14112576975,1.04555240373
33,1.0,0.624352331606,0.442541958277,0.67316017316,1.0,0.127452869135,2.20415465699,1.03874429229
34,1.0,0.681572426222,0.554693765465,0.748917748918,1.0,0.114837189784,2.23734683908,1.0418493329
35,1.0,0.744161597957,0.702663880081,0.785714285714,1.0,0.11197841574,2.25706361068,1.04194247777
36,1.0,0.796125253435,0.801687353271,0.850649350649,1.0,0.107978956121,2.27139005369,1.04143428852
37,1.0,0.840504618157,0.892299099905,0.898268398268,1.0,0.104959025652,2.28078672561,1.04146184422
38,1.0,0.889727416085,1.0,0.922077922078,1.0,0.103315979028,2.28673497126,1.04150656782
39,0.733333333333,0.000112637981527,0.159877623665,0.0,,,,
40,0.733333333333,0.114290005256,0.162979872069,0.166666666667,,,,
41,0.733333333333,0.229368476384,0.145115751116,0.292207792208,,,,
42,0.733333333333,0.33994142825,0.139629953929,0.417748917749,,,,
43,0.733333333333,0.453180145678,0.156776016028,0.508658008658,,,,
44,0.733333333333,0.534129308403,0.140749859445,0.612554112554,,,,
45,0.733333333333,0.601637005332,0.211416100574,0.67316017316,,,,
46,0.733333333333,0.686528497409,0.398814686042,0.746753246753,,,,
47,0.733333333333,0.786250657055,0.522949367127,0.796536796537,,,,
48,0.733333333333,0.843508297665,0.665833619783,0.861471861472,,,,
49,0.733333333333,0.903281519862,0.753079882983,0.904761904762,,,,
50,0.733333333333,0.963993391905,0.847926544537,0.95670995671,,,,
51,0.733333333333,1.0,0.95413837148,1.0,,,,
