,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein
,,,,,,,,
0,0.0,0.000112637981527,0.0396699459313,0.0,0.0,0.000112637981527,0.0396699459313,0.0
1,0.0,0.0431778929188,0.0301632390822,0.0454545454545,0.0,-0.225612898057,0.355812941279,-0.297367419525
2,0.0,0.131373432455,0.0288995963577,0.114718614719,0.0,-1.70716367181,0.745789950006,-1.46142999894
3,0.0,0.216527746489,0.0252524097371,0.188311688312,0.0,-1.13867377404,0.862719083376,-1.14664932398
4,0.0,0.305211383945,0.0180647233579,0.255411255411,0.0,-2.08397169543,1.14000654254,-1.95541021937
5,0.0,0.382518585267,0.0112367088003,0.309523809524,0.0,-1.83848307551,1.28236024443,-1.88842489443
6,0.0,0.438912668018,0.111226103485,0.37012987013,0.0,-2.74373912112,1.56804829466,-2.67870978986
7,0.0,0.501501839754,0.244143036316,0.437229437229,0.0,-2.85858886212,1.71847284052,-2.86795682898
8,0.0,0.541863783134,0.327500012256,0.489177489177,0.0,-3.56470613156,1.9039988922,-3.48902118319
9,0.0,0.606930990463,0.463798371628,0.54329004329,0.0,-3.07930746866,2.03734668153,-3.23743098047
10,0.0,0.644289254337,0.565330576314,0.588744588745,0.0,-3.99191014691,2.36629990713,-4.04371305707
11,0.0,0.708455357813,0.644013718605,0.634199134199,0.0,-4.71151592934,2.56300885266,-4.67102258471
12,0.0,0.738867612826,0.802476960619,0.666666666667,0.0,-4.27847513874,2.6996340614,-4.45203887755
13,0.333333333333,0.0,0.0394469878804,0.0,0.333333333333,0.0,0.0394469878804,0.0
14,0.333333333333,0.0520012014718,0.0217125491146,0.0714285714286,0.333333333333,0.702571058909,0.547375652232,0.299191818082
15,0.333333333333,0.149320417511,0.02100151044,0.160173160173,0.333333333333,-3.36844311352,1.35112008712,-3.26200423755
16,0.333333333333,0.244274235939,0.0104752011782,0.24025974026,0.333333333333,-2.66492994396,1.45306900296,-2.83345336239
17,0.333333333333,0.343207929714,0.00654819891297,0.307359307359,0.333333333333,-2.94442406726,1.6318540761,-3.14957332495
18,0.333333333333,0.414545318015,0.0,0.383116883117,0.333333333333,-3.4272008594,1.82248400919,-3.61342946101
19,0.333333333333,0.48152737103,0.100461503421,0.458874458874,0.333333333333,-3.39583899593,1.9885565352,-3.69901656071
20,0.333333333333,0.540699857325,0.2289786872,0.545454545455,0.333333333333,-4.18023367301,2.25730783746,-4.40326338752
21,0.333333333333,0.609596756026,0.317268208452,0.599567099567,0.333333333333,-4.31657347397,2.42729223811,-4.60572925474
22,0.333333333333,0.679094390629,0.448004112314,0.632034632035,0.333333333333,-4.988553125,2.64156868938,-5.20528422691
23,0.333333333333,0.735863933318,0.537533639114,0.683982683983,0.333333333333,-4.74187407237,2.79701767709,-5.12589219692
24,0.333333333333,0.781557407825,0.610057670323,0.718614718615,0.333333333333,-5.5303814076,3.09820227264,-5.83966781418
25,0.333333333333,0.82128106931,0.75625878428,0.751082251082,0.333333333333,-6.18864310354,3.30548550929,-6.42070861139
26,1.0,0.000112637981527,0.163151722036,0.0,1.0,0.000112637981527,0.163151722036,0.0
27,1.0,0.0804610648044,0.182308239237,0.132034632035,1.0,0.72992382989,1.0581958461,0.188516305559
28,1.0,0.185965307502,0.157436585212,0.24025974026,1.0,-3.07226756991,1.89505782355,-3.16063571042
29,1.0,0.290192986408,0.150256561407,0.348484848485,1.0,-3.70426521733,2.13698350462,-3.75496112202
30,1.0,0.383419689119,0.175415061031,0.439393939394,1.0,-3.69198617011,2.32542369147,-3.86700244745
31,1.0,0.472328602538,0.154995541328,0.530303030303,1.0,-4.4573930878,2.63586965358,-4.57736744142
32,1.0,0.544304272734,0.256721968461,0.601731601732,1.0,-4.9965769537,2.85477496687,-5.09008735241
33,1.0,0.624352331606,0.442541958277,0.67316017316,1.0,-5.06072886389,3.03924192216,-5.24903710999
34,1.0,0.681572426222,0.554693765465,0.748917748918,1.0,-5.78715994095,3.30466606393,-5.90955294724
35,1.0,0.744161597957,0.702663880081,0.785714285714,1.0,-5.98246251345,3.49041982955,-6.15903123469
36,1.0,0.796125253435,0.801687353271,0.850649350649,1.0,-6.60019396103,3.71238421754,-6.72162588079
37,1.0,0.840504618157,0.892299099905,0.898268398268,1.0,-6.55037895358,3.8845770783,-6.7888363971
38,1.0,0.889727416085,1.0,0.922077922078,1.0,-7.29121652121,4.15357175598,-7.45473615886
39,0.733333333333,0.000112637981527,0.159877623665,0.0,,,,
40,0.733333333333,0.114290005256,0.162979872069,0.166666666667,,,,
41,0.733333333333,0.229368476384,0.145115751116,0.292207792208,,,,
42,0.733333333333,0.33994142825,0.139629953929,0.417748917749,,,,
43,0.733333333333,0.453180145678,0.156776016028,0.508658008658,,,,
44,0.733333333333,0.534129308403,0.140749859445,0.612554112554,,,,
45,0.733333333333,0.601637005332,0.211416100574,0.67316017316,,,,
46,0.733333333333,0.686528497409,0.398814686042,0.746753246753,,,,
47,0.733333333333,0.786250657055,0.522949367127,0.796536796537,,,,
48,0.733333333333,0.843508297665,0.665833619783,0.861471861472,,,,
49,0.733333333333,0.903281519862,0.753079882983,0.904761904762,,,,
50,0.733333333333,0.963993391905,0.847926544537,0.95670995671,,,,
51,0.733333333333,1.0,0.95413837148,1.0,,,,
