,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein,Illumination,DCW,nitrate,lutein
0,0.0,0.000112637981527,0.0396699459313,0.0,0.0,0.000112637981527,0.0396699459313,0.0,0.0,0.000112637981527,0.0396699459313,0.0,0.0,0.000112637981527,0.0396699459313,0.0,0.0,0.000112637981527,0.0396699459313,0.0
1,0.0,0.0431778929188,0.0301632390822,0.0454545454545,0.0,-0.195513956786,0.356374183239,0.107763500629,0.0,-0.436677220414,0.559060617724,0.159329786271,0.0,-0.66454958492,0.708683890463,0.181508238463,0.0,-1.17389447304,0.93817415749,0.172297366069
2,0.0,0.131373432455,0.0288995963577,0.114718614719,0.0,-0.192854301412,0.741308431849,0.0213781483234,0.0,-0.422103157143,1.16224803518,0.0116060482438,0.0,-0.6416956082,1.44986328766,-0.0150305501789,0.0,-1.18836006325,1.82404569597,-0.0763510942212
3,0.0,0.216527746489,0.0252524097371,0.188311688312,0.0,-0.206585361085,1.29127633414,-0.234520693694,0.0,-0.439236785283,1.9634140161,-0.419193539587,0.0,-0.654005449202,2.39576805437,-0.562564469335,0.0,-1.19724856912,2.92083511105,-0.726466317967
4,0.0,0.305211383945,0.0180647233579,0.255411255411,0.0,-0.240533853257,2.0708877591,-0.60997596898,0.0,-0.479001663823,3.0106411286,-0.983631677646,0.0,-0.690428379402,3.58916619038,-1.22486548251,0.0,-1.23321751381,4.26817962166,-1.46225569178
5,0.0,0.382518585267,0.0112367088003,0.309523809524,0.0,-0.29835031554,3.08797492531,-1.10499678825,0.0,-0.518013714543,4.26461475576,-1.62676699601,0.0,-0.718415663055,4.96697425163,-1.92555648747,0.0,-1.27437826776,5.78566015796,-2.20418774776
6,0.0,0.438912668018,0.111226103485,0.37012987013,0.0,-0.3342107306,4.28597206567,-1.69048756447,0.0,-0.523681179017,5.64905937102,-2.29509389773,0.0,-0.723432308045,6.45882359377,-2.62847381522,0.0,-1.30943640123,7.40656855995,-2.93331135935
7,0.0,0.501501839754,0.244143036316,0.437229437229,0.0,-0.331274971801,5.59975267908,-2.31469647293,0.0,-0.514123449935,7.12823740399,-2.97461715783,0.0,-0.722132396319,8.03859697046,-3.33556787084,0.0,-1.3413478866,9.10342754433,-3.65897264955
8,0.0,0.541863783134,0.327500012256,0.489177489177,0.0,-0.313875373018,7.00330068283,-2.96050770507,0.0,-0.5034659775,8.68928727318,-3.66715310559,0.0,-0.720122725387,9.69173736458,-4.05107832168,0.0,-1.36712636978,10.8572097266,-4.38708935496
9,0.0,0.606930990463,0.463798371628,0.54329004329,0.0,-0.296363238406,8.48835269898,-3.62575226187,0.0,-0.493046111187,10.3205656198,-4.37258962388,0.0,-0.715039821943,11.4032379192,-4.77482445574,0.0,-1.38214269062,12.6515544061,-5.11893532482
10,0.0,0.644289254337,0.565330576314,0.588744588745,0.0,-0.280550576857,10.047034514,-4.30861235048,0.0,-0.479684304356,12.0086751559,-5.08842990364,0.0,-0.703297459115,13.1585210559,-5.50472332315,0.0,-1.38361747571,14.4736783393,-5.8540711459
11,0.0,0.708455357813,0.644013718605,0.634199134199,0.0,-0.263658045684,11.6687634007,-5.00585553194,0.0,-0.460222406889,13.7404220047,-5.81162041334,0.0,-0.682687303886,14.9453980421,-6.23862347925,0.0,-1.37110650718,16.3145549648,-6.59171264531
12,0.0,0.738867612826,0.802476960619,0.666666666667,0.0,-0.242494894488,13.3416687955,-5.71380310239,0.0,-0.432937227635,15.504603846,-6.53958926689,0.0,-0.652688149592,16.7547458726,-6.97491420414,0.0,-1.34577370453,18.1681848393,-7.33113072752
13,0.333333333333,0.0,0.0394469878804,0.0,0.333333333333,0.0,0.0394469878804,0.0,0.333333333333,0.0,0.0394469878804,0.0,0.333333333333,0.0,0.0394469878804,0.0,0.333333333333,0.0,0.0394469878804,0.0
14,0.333333333333,0.0520012014718,0.0217125491146,0.0714285714286,0.333333333333,-0.212056296803,0.16136956862,0.405722202965,0.333333333333,-0.445801333898,0.355720747186,0.470088796017,0.333333333333,-0.669654505751,0.498173907818,0.500440761376,0.333333333333,-1.19078266004,0.720334297384,0.490119755862
15,0.333333333333,0.149320417511,0.02100151044,0.160173160173,0.333333333333,-0.231889355836,0.178350526056,0.617029919296,0.333333333333,-0.471071567119,0.622909292868,0.636240144634,0.333333333333,-0.700572608076,0.9505857884,0.632828615221,0.333333333333,-1.26674686553,1.42191859877,0.599617062053
16,0.333333333333,0.244274235939,0.0104752011782,0.24025974026,0.333333333333,-0.259826866108,0.141532968972,0.736891851835,0.333333333333,-0.502287913887,0.944620604675,0.537755334764,0.333333333333,-0.731736353295,1.5036178445,0.361507204345,0.333333333333,-1.31247800661,2.26442568937,0.12704393695
17,0.333333333333,0.343207929714,0.00654819891297,0.307359307359,0.333333333333,-0.278765613833,0.0560696663919,0.844392689642,0.333333333333,-0.505218299562,1.3830322304,0.253174408922,0.333333333333,-0.737356735852,2.22438371371,-0.147137259914,0.333333333333,-1.34851700948,3.32069034622,-0.580794889278
18,0.333333333333,0.414545318015,0.0,0.383116883117,0.333333333333,-0.297528683834,-0.0937032243166,0.978539575721,0.333333333333,-0.506121218471,1.98462096209,-0.157221106822,0.333333333333,-0.762735274251,3.15928894602,-0.735082188521,0.333333333333,-1.42003463417,4.61368572792,-1.30151266654
