,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.188748089352,0.173536619846,0.189140118825,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.291649335794,0.163669320823,0.288062117097,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.385675929859,0.153680026299,0.381963548471,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.471988959684,0.143670579874,0.468755553727,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.562356754115,0.266662720442,0.540028979444,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.643205280474,0.386743872812,0.603273533374,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.714871229569,0.504416841334,0.659052612275,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.777967778054,0.620029202739,0.707827899164,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.83327050647,0.733840395267,0.749940041049,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.881630107423,0.846072077059,0.785598674816,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.923912481819,0.956942579415,0.814879968282,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.06473350188,0.0160658271077,0.0436833716212,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.129039849707,0.00514809436449,0.0879811059715,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.192544682826,-0.00531028603514,0.131590389919,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.254875191281,-0.015176823135,0.173157155833,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.319876949155,0.011826137287,0.231098491865,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.381674183681,0.0376251280469,0.280694405203,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.439722336262,0.0629681819838,0.321687908032,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.493590159468,0.0885446867886,0.354026227074,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.54295189365,0.114976625326,0.377870498367,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.587578739798,0.142812277502,0.393575877214,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.627332139116,0.172524212152,0.40164873909,0.2
